calcTest_before,triTest_before,calcop_after,triop_after,total_before,total_after
1.741,0.002,0.056,0.143,1.743,0.19899999999999998
1.0,0.001,0.06,0.138,1.001,0.198
1.067,0.002,0.123,0.352,1.069,0.475
1.329,0.001,0.055,0.153,1.3299999999999998,0.208
1.128,0.002,0.058,0.145,1.13,0.20299999999999999
1.138,0.004,0.056,0.139,1.142,0.195
1.169,0.006,0.067,0.16,1.175,0.227
1.168,0.003,0.067,0.131,1.1709999999999998,0.198
1.057,0.003,0.078,0.128,1.0599999999999998,0.20600000000000002
1.079,0.002,0.048,0.154,1.081,0.202
